                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0243,                 4.8554,                 1.4824,                      0,                      0,                      0,                      0,                 1.5936,                 5.1322,                 1.3891,              3.845e-05,              3.845e-05,              3.845e-05
                      2,                 1.7121,                 4.6654,                 1.3421,                0.00088,                0.03571,                0.00146,                0.00044,                 1.3476,                 4.8118,                 1.1606,             8.3753e-05,             8.3753e-05,             8.3753e-05
                      3,                  1.512,                 4.2159,                  1.182,                0.00263,                0.14082,                0.03135,                0.01844,                 1.4193,                 4.6291,                 1.0536,             0.00012814,             0.00012814,             0.00012814
                      4,                 1.5334,                 3.8895,                 1.1149,                0.00688,                0.56735,                0.06085,                0.02891,                 1.3287,                 4.4611,                0.99812,             0.00017162,             0.00017162,             0.00017162
                      5,                 1.4954,                 3.4411,                 1.1009,                0.00822,                0.68061,                0.15881,                0.08013,                 1.3515,                 4.2996,                0.94593,             0.00021418,             0.00021418,             0.00021418
                      6,                  1.483,                 3.2737,                 1.0714,                0.00821,                0.71633,                0.21233,                0.11696,                 1.3566,                  4.114,                0.95357,             0.00025583,             0.00025583,             0.00025583
                      7,                 1.4849,                  3.117,                 1.0779,                0.79118,                0.03658,                0.19802,                0.11748,                 1.4695,                 3.9476,                0.96879,             0.00029656,             0.00029656,             0.00029656
                      8,                  1.383,                 2.8697,                 1.0453,                0.81539,                0.04246,                0.23262,                0.14329,                 1.3881,                 3.8292,                0.96978,             0.00033638,             0.00033638,             0.00033638
                      9,                 1.4192,                 2.7779,                 1.0571,                0.01069,                0.85918,                0.25518,                0.16011,                  1.505,                 3.7576,                 1.0198,             0.00037529,             0.00037529,             0.00037529
                     10,                 1.3684,                 2.6828,                 1.0519,                0.01068,                0.85918,                0.24127,                  0.158,                 1.4842,                 3.8037,                 1.0396,             0.00041328,             0.00041328,             0.00041328
                     11,                 1.3552,                 2.6047,                 1.0487,                0.01179,                0.85918,                0.29521,                0.17569,                  1.382,                 3.7895,                 1.0287,             0.00045036,             0.00045036,             0.00045036
                     12,                 1.3933,                 2.5906,                 1.0965,                0.01521,                0.78776,                0.24289,                0.15905,                 1.3866,                 3.8176,                  1.112,             0.00048653,             0.00048653,             0.00048653
                     13,                 1.3288,                 2.4869,                 1.0784,                0.01763,                0.73878,                0.22889,                0.14131,                  1.416,                 3.9118,                 1.1745,             0.00052178,             0.00052178,             0.00052178
                     14,                  1.396,                 2.4559,                 1.0967,                0.01816,                0.69592,                 0.3512,                0.21439,                 1.4055,                  3.866,                 1.1576,             0.00055612,             0.00055612,             0.00055612
                     15,                 1.2794,                  2.326,                 1.0426,                0.01792,                0.76735,                0.33778,                0.22849,                 1.3997,                 3.8136,                 1.1456,             0.00058955,             0.00058955,             0.00058955
                     16,                 1.3631,                 2.3193,                 1.0929,                0.93087,                0.05612,                0.22797,                0.14622,                 1.4594,                 3.6838,                 1.1804,             0.00062206,             0.00062206,             0.00062206
                     17,                 1.3533,                 2.2749,                 1.0936,                0.87759,                0.06624,                0.33749,                0.20688,                 1.4688,                  3.497,                  1.202,             0.00064719,             0.00064719,             0.00064719
                     18,                 1.2993,                 2.1754,                 1.0719,                0.60621,                0.14638,                0.48639,                0.29931,                 1.4034,                 3.1199,                   1.13,             0.00063958,             0.00063958,             0.00063958
                     19,                 1.3273,                 2.0522,                 1.0945,                0.59073,                0.43185,                0.50627,                0.31848,                 1.4679,                 2.9872,                 1.1369,             0.00063196,             0.00063196,             0.00063196
                     20,                 1.2162,                  1.954,                 1.0233,                0.60781,                0.53903,                0.54967,                0.32328,                 1.4177,                 2.6947,                 1.1116,             0.00062435,             0.00062435,             0.00062435
